DATE,POPTHM
9/1/2013,316846
10/1/2013,317055
11/1/2013,317248
12/1/2013,317429
1/1/2014,317598
2/1/2014,317758
3/1/2014,317924
4/1/2014,318098
5/1/2014,318284
6/1/2014,318479
7/1/2014,318692
8/1/2014,318921
9/1/2014,319149
10/1/2014,319367
11/1/2014,319561
12/1/2014,319742
1/1/2015,319904
2/1/2015,320053
3/1/2015,320215
4/1/2015,320390
5/1/2015,320574
6/1/2015,320769
7/1/2015,320982
8/1/2015,321205
9/1/2015,321428
10/1/2015,321641
11/1/2015,321834
12/1/2015,322020
1/1/2016,322196
2/1/2016,322353
3/1/2016,322513
4/1/2016,322685
5/1/2016,322867
6/1/2016,323061
7/1/2016,323265
8/1/2016,323473
9/1/2016,323680
10/1/2016,323876
11/1/2016,324052
12/1/2016,324216
1/1/2017,324362
2/1/2017,324494
3/1/2017,324632
4/1/2017,324783
5/1/2017,324944
6/1/2017,325117
7/1/2017,325296
8/1/2017,325476
9/1/2017,325653
10/1/2017,325820
11/1/2017,325968
12/1/2017,326100
1/1/2018,326216
2/1/2018,326323
3/1/2018,326437
4/1/2018,326563
5/1/2018,326699
6/1/2018,326847
7/1/2018,327005
8/1/2018,327167
9/1/2018,327328
10/1/2018,327477
11/1/2018,327607
12/1/2018,327722
1/1/2019,327824
2/1/2019,327921
3/1/2019,328025
4/1/2019,328140
5/1/2019,328267
6/1/2019,328404
7/1/2019,328561
8/1/2019,328730
9/1/2019,328897
10/1/2019,329054
11/1/2019,329191
12/1/2019,329314
1/1/2020,329423
2/1/2020,329527
3/1/2020,329638
4/1/2020,329760
5/1/2020,329894
6/1/2020,330038
7/1/2020,330199
8/1/2020,330368
9/1/2020,330535
10/1/2020,330692
11/1/2020,330829
